,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,0.341667,-0.007001,-0.001336,0.005619,-0.999959,66.586441,911.022705,27.830999,79.872040,937.223938,27.622969,82.783035,903.758484,23.313076,69.799179,914.401428,49.483837,41.072609,919.595093,21.337595,59.405342,880.134521,17.397520
42,0.350000,-0.006506,-0.000280,0.005733,-0.999962,66.555664,911.043823,27.852377,79.848015,937.241638,27.646074,82.759979,903.771179,23.375837,69.723633,914.443420,49.508530,41.057640,919.615845,21.296692,59.389065,880.146912,17.434742
43,0.358333,-0.006313,0.000904,0.005024,-0.999967,66.565720,911.085754,27.889006,79.821800,937.302063,27.703726,82.790794,903.834045,23.453863,69.677505,914.498474,49.551247,41.071346,919.619446,21.269375,59.467175,880.174683,17.466806
44,0.366667,-0.006973,-0.000890,0.005742,-0.999959,66.555542,911.025696,27.812244,79.847908,937.223572,27.614422,82.754326,903.757080,23.309181,69.749863,914.404846,49.467720,41.049660,919.604126,21.295610,59.375965,880.138611,17.374277
45,0.375000,-0.006394,0.000471,0.005201,-0.999966,66.586151,911.062317,27.878405,79.851189,937.273987,27.686018,82.804840,903.805664,23.427979,69.717903,914.470276,49.538513,41.089016,919.605896,21.282318,59.467815,880.155457,17.457191
46,0.383333,-0.006606,-0.000335,0.005258,-0.999964,66.553238,911.056702,27.845150,79.820641,937.267151,27.642738,82.763992,903.800293,23.365463,69.720222,914.454956,49.501656,41.046387,919.605774,21.293839,59.414940,880.155090,17.422043
47,0.391667,-0.006705,-0.000125,0.005380,-0.999963,66.597778,911.051025,27.850332,79.871758,937.258240,27.658638,82.808617,903.791565,23.376040,69.756500,914.444275,49.508835,41.095802,919.607727,21.289972,59.456207,880.153259,17.418165
48,0.400000,-0.006942,-0.000720,0.005820,-0.999959,66.564270,911.025391,27.818760,79.860870,937.221130,27.623749,82.763412,903.753906,23.321634,69.751816,914.405457,49.475098,41.061958,919.607483,21.292963,59.383297,880.138794,17.380350
49,0.408333,-0.006766,-0.000716,0.005632,-0.999961,66.571083,911.025085,27.821964,79.857849,937.225708,27.617849,82.773003,903.758118,23.327534,69.757172,914.414001,49.477139,41.065609,919.595276,21.292933,59.401810,880.132141,17.394356
50,0.416667,-0.006805,-0.000746,0.005704,-0.999960,66.575562,911.025879,27.824379,79.866043,937.224609,27.621559,82.776184,903.756958,23.328411,69.763412,914.412598,49.479633,41.070915,919.600159,21.297541,59.401276,880.134766,17.394745
51,0.425000,-0.006961,-0.000711,0.005351,-0.999961,66.561562,911.036926,27.831411,79.833588,937.245056,27.637766,82.767639,903.780823,23.334387,69.745407,914.419128,49.487957,41.051369,919.595276,21.305338,59.409828,880.143982,17.391594
52,0.433333,-0.006356,-0.000087,0.005324,-0.999966,66.543182,911.071472,27.876251,79.814262,937.280029,27.667164,82.755157,903.810669,23.408213,69.699966,914.480225,49.532600,41.040737,919.620728,21.308064,59.405815,880.165588,17.465204
53,0.441667,-0.006518,0.000368,0.005287,-0.999965,66.562866,911.055908,27.865849,79.832329,937.265381,27.677267,82.779404,903.797607,23.410292,69.699638,914.457947,49.526161,41.065838,919.605530,21.277115,59.437130,880.152893,17.438402
54,0.450000,-0.006845,-0.000839,0.005723,-0.999960,66.559685,911.031433,27.820976,79.851120,937.229675,27.617790,82.759193,903.762207,23.321417,69.751686,914.416260,49.475910,41.054146,919.607239,21.299561,59.382286,880.141418,17.390196
55,0.458333,-0.006971,-0.000096,0.005044,-0.999963,66.573730,911.058105,27.849169,79.830101,937.274353,27.672266,82.789734,903.811951,23.372066,69.728775,914.441956,49.509674,41.066429,919.601135,21.291712,59.453613,880.161072,17.400116
56,0.466667,-0.006995,-0.000041,0.005059,-0.999963,66.581963,911.055054,27.849348,79.839180,937.270813,27.675152,82.798241,903.808533,23.373705,69.734718,914.437683,49.510368,41.075661,919.599182,21.289459,59.462032,880.158691,17.398046
57,0.475000,-0.006686,-0.000365,0.005537,-0.999962,66.585541,911.027466,27.833252,79.867569,937.230530,27.634184,82.791969,903.762817,23.351416,69.755753,914.420532,49.490105,41.083069,919.591858,21.284864,59.429348,880.131470,17.405678
58,0.483333,-0.007086,-0.001367,0.005695,-0.999958,66.583191,911.018616,27.826628,79.872772,937.217773,27.622192,82.778397,903.752625,23.306442,69.797821,914.393127,49.479828,41.070267,919.596008,21.336298,59.396721,880.133301,17.388369
59,0.491667,-0.006885,-0.000733,0.005694,-0.999960,66.564278,911.023987,27.816694,79.854279,937.223022,27.618368,82.765137,903.756104,23.319986,69.751518,914.407288,49.472569,41.059635,919.598877,21.290564,59.390820,880.134399,17.381975
60,0.500000,-0.006767,-0.000688,0.005606,-0.999961,66.569725,911.028137,27.824228,79.855133,937.229431,27.620911,82.772270,903.761963,23.330708,69.754402,914.417175,49.479588,41.064167,919.597046,21.293760,59.402641,880.134827,17.396168
61,0.508333,-0.006353,-0.000234,0.005535,-0.999965,66.562294,911.044189,27.858681,79.844337,937.247070,27.645548,82.769882,903.776550,23.385866,69.726929,914.451660,49.514080,41.061489,919.604126,21.298016,59.408833,880.141174,17.449884
62,0.516667,-0.006989,-0.001374,0.005581,-0.999959,66.590637,911.022827,27.833557,79.874207,937.225037,27.623915,82.787437,903.759705,23.314550,69.804779,914.402222,49.486065,41.075653,919.593140,21.341921,59.411102,880.133850,17.401323
63,0.525000,-0.006758,-0.001520,0.005194,-0.999963,66.635689,911.039795,27.789236,79.898865,937.252136,27.563711,82.836830,903.787109,23.268908,69.853439,914.431641,49.439262,41.112198,919.587280,21.301004,59.477131,880.140442,17.373285
64,0.533333,-0.007115,-0.000784,0.005427,-0.999960,66.561508,911.032104,27.826550,79.837471,937.238281,27.639059,82.765831,903.774902,23.324957,69.748985,914.407104,49.483681,41.051662,919.596313,21.306787,59.403587,880.143494,17.378256
65,0.541667,-0.006737,-0.002248,0.005256,-0.999961,66.590919,911.019958,27.777897,79.856735,937.230835,27.532124,82.784630,903.765320,23.234221,69.840591,914.412231,49.423096,41.058971,919.570129,21.326565,59.413673,880.121033,17.373476
66,0.550000,-0.006357,0.000115,0.005723,-0.999963,66.580299,911.044067,27.868492,79.872414,937.241943,27.664705,82.788246,903.770264,23.406935,69.731155,914.450317,49.526100,41.087322,919.613708,21.290112,59.422382,880.143860,17.454601
67,0.558333,-0.005790,-0.001336,0.006199,-0.999963,66.555717,911.035400,27.816540,79.871605,937.220642,27.544769,82.743797,903.741455,23.315901,69.772858,914.462830,49.461060,41.051674,919.621582,21.302900,59.338654,880.130371,17.458063
68,0.566667,-0.006398,0.000684,0.005355,-0.999965,66.572891,911.058167,27.868162,79.846123,937.265808,27.681568,82.791222,903.796570,23.424572,69.696510,914.465027,49.529621,41.081196,919.609741,21.261311,59.449402,880.153625,17.443735
69,0.575000,-0.005988,-0.000639,0.006166,-0.999963,66.565407,911.026367,27.857176,79.880188,937.212402,27.614122,82.760170,903.735107,23.376331,69.752121,914.445557,49.507492,41.070004,919.613586,21.311241,59.364571,880.124878,17.476681
70,0.583333,-0.006617,-0.000526,0.005702,-0.999962,66.557289,911.045471,27.828312,79.847847,937.244202,27.621387,82.759865,903.774841,23.342173,69.735680,914.440369,49.483673,41.055492,919.617371,21.287086,59.387562,880.150452,17.407230
71,0.591667,-0.006699,-0.000051,0.005313,-0.999963,66.584183,911.054993,27.848845,79.854713,937.263916,27.658768,82.796646,903.797546,23.377050,69.739250,914.448914,49.507771,41.082047,919.608154,21.284599,59.448273,880.156067,17.416033
72,0.600000,-0.006713,-0.000111,0.005424,-0.999963,66.587746,911.041809,27.843632,79.864044,937.247803,27.652674,82.798065,903.780945,23.369673,69.746178,914.434448,49.502270,41.086704,919.600830,21.282705,59.443733,880.144775,17.410826
73,0.608333,-0.005897,0.001162,0.005469,-0.999967,66.576096,911.049561,27.862371,79.855713,937.253845,27.661991,82.796913,903.779602,23.441504,69.679947,914.477478,49.523342,41.092724,919.600464,21.222704,59.455181,880.136108,17.462313
74,0.616667,-0.007035,-0.001356,0.005685,-0.999958,66.593277,911.022583,27.833101,79.882309,937.222046,27.626335,82.788734,903.756470,23.314024,69.807327,914.399353,49.486038,41.080311,919.598816,21.341312,59.407692,880.136047,17.397783
75,0.625000,-0.007212,-0.001371,0.005331,-0.999959,66.584511,911.034302,27.838873,79.855026,937.243164,27.641090,82.784988,903.781250,23.316824,69.796715,914.405640,49.492928,41.065338,919.594788,21.350748,59.420502,880.146362,17.392763
